group,age,fiinc,fninc,ownermort,ownerhome,rentalmort,rentalhome,dweght,year
group 4,65,3533.9084893178,3382.950140167501,-769.8885333759713,13081.457095541555,-238.41256972950785,6981.314947351073,1.79150705822e11,1972
group 3,65,2385.612026668129,2318.5790466790295,-489.28436423242727,9408.81975062625,-133.44333753323713,4015.0812396181955,2.21975745408e11,1972
group 2,65,1065.371447958073,1038.5708849565303,-163.8806443228651,3987.5222395624546,-26.887949362573917,2241.362695349404,2.90269801405e11,1972
group 10,0,17441.31887446864,15794.886939255673,-6359.001344486208,21492.541975717784,-2293.2962967192316,9301.165515662495,1.234903148934e12,1972
group 1,0,-355.8007925200022,-522.8867397831038,-412.70632855600604,1386.055180459997,-876.0052010884272,1503.775752059819,3.58856913356e11,1972
group 9,0,9448.212390968312,9306.892477334717,-4567.007631368584,12132.236083109945,-1406.144180073103,2718.6477524993134,1.27818598919e12,1972
group 2,0,1072.2303797443217,1044.315092900058,-690.6869487094166,1906.2443884547652,-526.0061842758923,927.5816305378216,1.047473230819e12,1972
group 8,0,7660.831650082731,7593.85102963105,-3723.621100380122,9386.26645454387,-937.875291803119,2053.243158984875,1.284434480001e12,1972
group 7,0,6426.042656463561,6369.609540418692,-3166.1766752430594,7368.370521137459,-664.1005967423955,1641.719126999176,1.283099592488e12,1972
group 6,0,5415.8393442402285,5375.769022387695,-2621.835011740532,5964.458071304148,-681.034768325548,1380.5650084142455,1.267326621106e12,1972
group 5,0,4413.197734552203,4369.067752773791,-2182.619378142101,4907.648803344692,-728.1984355765769,1531.8849084139395,1.230336182159e12,1972
group 4,0,3420.1671062509413,3374.739566496777,-1307.3179286850786,3259.625926881884,-695.4829016132082,1170.3637214557014,1.155222270103e12,1972
group 3,0,2275.3415999500376,2240.7007345397433,-800.3825736627027,2710.5303672174473,-559.4558557226076,1403.3069052788162,1.111788878362e12,1972
group 10,65,28251.33325926433,22077.306667943503,-2050.0258172687363,35769.42333806259,-3062.35606817602,51869.12219218231,1.106188e11,1973
group 1,65,4.534609148230102,-0.367098053829877,-35.191612797500035,1573.6600294292057,-1.6598459174376945,23.223679678832056,1.036289927286e12,1973
group 9,65,10504.690479299818,9347.929620953197,-1108.488669105946,19208.964544226874,-1155.388009697302,20601.6426358625,5.19324e10,1973
group 2,65,1254.4730669597582,1212.8976246022658,-145.55030614390077,4277.041647516627,-21.167766709835984,1864.9518068544205,3.20196419933e11,1973
group 8,65,8804.292144044592,7852.618977081249,-1345.73975453766,18894.2025945405,-840.7392984475873,10176.949841740348,4.89311e10,1973
group 7,65,7532.984498428505,7212.790747984696,-2010.1873714428134,24925.677756129666,-253.71314300533191,10925.581296398987,5.35142e10,1973
group 6,65,6541.0971375118415,6062.268074351458,-1495.039064502646,21782.791958729915,-591.073510141902,9568.857242339289,5.41352e10,1973
group 5,65,5356.608889223492,5152.504863197598,-677.3899993063388,20329.404256217545,-258.9074643919342,15018.493492887856,7.73691e10,1973
group 4,65,3924.9121248430683,3678.3016341141597,-838.8292806044388,14405.281612670373,-250.91927822407453,7725.692792928863,1.78643473235e11,1973
group 3,65,2782.9118401711266,2649.951117536357,-997.5559418128558,11795.48016313728,-156.14751559260063,3909.0407264543032,2.20240053e11,1973
group 10,0,18754.9963545222,17305.093677537243,-6835.326345076027,24501.31319729789,-2775.9355353256874,10878.822826037567,1.2511501e12,1973
group 1,0,-623.7409342350825,-834.2632694184376,-452.60444649739003,1729.0329418762747,-1247.723272985894,2158.918441818161,3.16778534498e11,1973
group 9,0,10217.0717933527,10086.551380927658,-5040.842266125343,13591.896575572799,-1431.473969649247,2969.679995888968,1.312439610152e12,1973
group 3,0,2450.055855186187,2405.3049512259227,-960.1807104790494,3079.3335475830777,-552.3287507101624,1207.3308921184348,1.139602278607e12,1973
group 8,0,8326.536124258826,8230.91632737516,-3926.4466459535365,10343.317807961748,-854.6204094796863,1603.3377419858737,1.3055277e12,1973
group 7,0,7021.354494699063,6953.410482729035,-3398.572852378345,8106.511787120058,-875.1477178738561,2013.887580829222,1.3084011e12,1973
group 6,0,5917.845662631846,5869.791994514914,-2938.968537285065,6794.0123474944685,-834.7851476962876,1560.6751984557181,1.3061293e12,1973
group 5,0,4819.878553751795,4758.4199996561965,-2110.604272415883,4823.741800322141,-810.0810396957769,1227.310465341619,1.2891696e12,1973
group 4,0,3693.010921679741,3656.646065544572,-1621.5489571820508,4602.035843793332,-764.0450366331445,1734.0383790069777,1.1753915e12,1973
group 2,0,1221.538243585689,1198.6890865782161,-762.3493937038747,2040.4248043045554,-719.2727103310704,1311.8700342139534,1.044016803239e12,1973
